page,token,pos,counts,cumulative_sum
52,public,JJ,3,3
165,bar,NN,3,3
220,bring,VB,3,3
169,light,NN,3,3
222,even,RB,3,3
128,gift,NN,3,3
46,footnote,NN,3,13
166,food,NN,3,3
113,grandmother,NN,3,3
32,sleep,NN,3,3
233,water,NN,3,3
27,importance,NN,3,3
47,man,NN,3,42
47,text,NN,3,3
113,could,MD,3,17
122,another,DT,3,9
128,man,NN,3,45
113,alms,NNS,3,3
128,inaccuracy,NN,3,11
240,would,MD,3,58
113,murder,NN,3,3
165,perhaps,RB,3,3
168,sight,NN,3,3
46,lying,VBG,3,3
31,might,MD,3,7
167,great,JJ,3,24
167,see,VB,3,6
221,friend,NN,3,3
167,life,NN,3,6
111,something,NN,3,6
153,one,CD,3,80
111,however,RB,3,3
128,inaccurate,JJ,3,3
221,money,NN,3,23
129,bad,JJ,3,32
239,one,CD,3,83
167,upon,IN,3,27
224,special,JJ,3,3
154,violet,NN,3,3
37,force,NN,3,3
53,man,NN,3,48
238,may,MD,3,23
213,little,JJ,3,24
127,good,JJ,3,24
132,thing,NN,3,19
23,false,JJ,3,3
104,stress,NN,3,3
244,wet,JJ,3,3
132,good,JJ,3,27
58,man,NN,3,51
58,men,NNS,3,24
244,rain,NN,3,3
163,might,MD,3,10
173,even,RB,3,6
214,public,JJ,3,6
57,write,VB,3,3
37,ass,NN,3,3
173,coast,NN,3,3
234,world,NN,3,8
32,word,NN,3,20
244,statistics,NNS,3,6
236,one,CD,3,86
163,car,NN,3,3
104,lilt,NN,3,3
237,could,MD,3,20
236,many,JJ,3,8
59,general,JJ,3,3
46,first,JJ,3,6
127,ostrich,NN,3,3
163,port,NN,3,3
59,man,NN,3,54
34,heart,NN,3,10
59,year,NN,3,3
150,make,VBP,3,7
59,war,NN,3,3
232,know,VBP,3,3
158,truth,NN,3,7
105,every,DT,3,6
234,mediterranean,NNP,3,3
108,something,NN,3,9
216,worship,NN,3,7
164,little,JJ,3,27
55,chose,VBD,3,3
106,may,MD,3,26
54,secure,JJ,3,3
125,good,JJ,3,30
43,order,NN,3,3
158,one,CD,3,89
171,inland,RB,3,3
171,people,NNS,3,14
122,great,JJ,3,27
116,much,RB,3,7
32,operative,JJ,3,3
116,foreign,JJ,3,7
32,also,RB,3,15
130,technical,JJ,3,6
151,say,VB,3,3
155,new,JJ,3,9
244,would,MD,3,61
29,must,MD,3,10
173,sea,NN,3,42
164,sea,NN,3,45
57,purchasable,JJ,3,3
243,one,CD,3,92
214,er,NN,3,3
117,real,JJ,3,3
215,good,JJ,3,33
56,leave,VBP,3,3
32,true,JJ,3,3
172,even,RB,3,9
56,say,VBP,3,6
243,almost,RB,3,3
122,one,CD,3,95
38,force,NN,3,6
172,coast,NN,3,6
121,controversy,NN,3,20
124,eighteenth,NNP,3,3
187,modern,JJ,3,10
194,war,NN,3,6
183,reef,NN,3,3
79,mind,NN,3,3
87,knight,NN,3,3
77,journey,NN,3,3
197,scroll,NN,3,3
85,earl,NNP,3,3
141,water,NN,3,6
253,work,NN,3,3
188,one,CD,3,98
86,dean,NNP,3,3
80,deal,VB,3,3
80,like,IN,3,3
188,would,MD,3,64
200,lay,VBD,3,3
82,write,VBP,3,6
203,wrote,VBD,3,7
83,think,VBP,3,3
197,last,JJ,3,9
141,men,NNS,3,27
70,thing,NN,3,22
15,far,RB,3,6
73,much,JJ,3,10
194,trophy,NN,3,3
146,true,JJ,3,6
254,man,NN,3,57
249,certitude,NN,3,3
142,never,RB,3,7
140,way,NN,3,3
201,fine,JJ,3,3
201,made,VBD,3,3
13,remarkable,JJ,3,3
187,rope,NN,3,7
